enzyme	seqid	genome	contig	gene_no	start	end	strand	pfam	dbit	devalue	fullbit	fullevalue
phnZ	AG-895-D03_3_87_63287_63865_F	AG-895-D03	3	87	63287	63865	F	PF01966.21	27.8	2.3e-6	27.3	3.2e-6
hpnW	AG-895-D03_3_88_63862_65007_R	AG-895-D03	3	88	63862	65007	R	TIGR03364	420	6e-128	419.9	6.7e-128
phnU2	AG-895-D03_3_90_65782_67521_R	AG-895-D03	3	90	65782	67521	R	TIGR03262	705.9	4.5e-214	705.6	5.2e-214
phnT2	AG-895-D03_3_91_67526_68632_R	AG-895-D03	3	91	67526	68632	R	TIGR03265	473.3	5.7e-144	473.1	6.5e-144
phnS2	AG-895-D03_3_92_68714_69766_R	AG-895-D03	3	92	68714	69766	R	TIGR03261	458.9	1.2e-139	458.6	1.4e-139
phnU2	AG-895-D05_35_1_2_1612_F	AG-895-D05	35	1	2	1612	F	TIGR03262	688.8	6.4e-209	688.7	7.2e-209
hpnW	AG-895-D05_35_3_2388_3533_F	AG-895-D05	35	3	2388	3533	F	TIGR03364	420.5	4.5e-128	420.3	5e-128
phnZ	AG-895-D05_35_4_3530_4090_R	AG-895-D05	35	4	3530	4090	R	PF01966.21	27.6	2.6e-6	27.2	3.5e-6
phnS2	AG-895-F05_1_99_78672_79724_F	AG-895-F05	1	99	78672	79724	F	TIGR03261	458.7	1.3e-139	458.4	1.6e-139
phnT2	AG-895-F05_1_100_79806_80912_F	AG-895-F05	1	100	79806	80912	F	TIGR03265	471.2	2.6e-143	471	2.9e-143
phnU2	AG-895-F05_1_101_80917_82656_F	AG-895-F05	1	101	80917	82656	F	TIGR03262	705.4	6.1e-214	705.2	7.1e-214
hpnW	AG-895-F05_1_103_83430_84575_F	AG-895-F05	1	103	83430	84575	F	TIGR03364	420.8	3.6e-128	420.6	4e-128
phnZ	AG-895-F05_1_104_84572_85150_R	AG-895-F05	1	104	84572	85150	R	PF01966.21	27.6	2.6e-6	27.1	3.8e-6
phnS2	AG-895-L20_1_88_70716_71768_F	AG-895-L20	1	88	70716	71768	F	TIGR03261	458.1	2.1e-139	457.8	2.5e-139
phnT2	AG-895-L20_1_89_71850_72956_F	AG-895-L20	1	89	71850	72956	F	TIGR03265	473.4	5.6e-144	473.2	6.4e-144
phnU2	AG-895-L20_1_90_72961_74700_F	AG-895-L20	1	90	72961	74700	F	TIGR03262	705.7	5.2e-214	705.4	6.1e-214
hpnW	AG-895-L20_1_92_75474_76619_F	AG-895-L20	1	92	75474	76619	F	TIGR03364	420.5	4.2e-128	420.4	4.8e-128
phnZ	AG-895-L20_1_93_76616_77194_R	AG-895-L20	1	93	76616	77194	R	PF01966.21	29.6	6e-7	29.1	8.7e-7
phnS2	AG-895-M05_4_56_29513_30565_F	AG-895-M05	4	56	29513	30565	F	TIGR03261	459.5	7.5e-140	459.2	9e-140
phnT2	AG-895-M05_4_57_30647_31753_F	AG-895-M05	4	57	30647	31753	F	TIGR03265	473.3	5.7e-144	473.1	6.5e-144
phnU2	AG-895-M05_4_58_31758_33497_F	AG-895-M05	4	58	31758	33497	F	TIGR03262	706.1	3.9e-214	705.8	4.6e-214
hpnW	AG-895-M05_4_60_34272_35417_F	AG-895-M05	4	60	34272	35417	F	TIGR03364	421	3e-128	420.8	3.4e-128
phnZ	AG-895-M05_4_61_35406_35993_R	AG-895-M05	4	61	35406	35993	R	PF01966.21	27.6	2.6e-6	27.1	3.6e-6
phnU2	AG-895-M06_22_1_2_1456_F	AG-895-M06	22	1	2	1456	F	TIGR03262	634.6	1.7e-192	634.4	1.9e-192
hpnW	AG-895-M06_22_3_2230_3375_F	AG-895-M06	22	3	2230	3375	F	TIGR03364	419.7	7.6e-128	419.5	8.6e-128
phnZ	AG-895-M06_22_4_3372_3932_R	AG-895-M06	22	4	3372	3932	R	PF01966.21	24.1	3.2e-5	23.5	4.7e-5
phnZ	AG-895-M08_2_71_46189_46767_F	AG-895-M08	2	71	46189	46767	F	PF01966.21	28.1	1.8e-6	27.6	2.6e-6
hpnW	AG-895-M08_2_72_46764_47909_R	AG-895-M08	2	72	46764	47909	R	TIGR03364	419.7	7.6e-128	419.5	8.6e-128
phnU2	AG-895-M08_2_74_48683_50422_R	AG-895-M08	2	74	48683	50422	R	TIGR03262	706.4	3e-214	706.2	3.6e-214
phnT2	AG-895-M08_2_75_50427_51533_R	AG-895-M08	2	75	50427	51533	R	TIGR03265	472.2	1.3e-143	472	1.5e-143
phnS2	AG-895-M08_2_76_51615_52667_R	AG-895-M08	2	76	51615	52667	R	TIGR03261	459.1	9.9e-140	458.8	1.2e-139
phnZ	AG-895-M21_17_22_11987_12565_F	AG-895-M21	17	22	11987	12565	F	PF01966.21	28.5	1.3e-6	28	1.9e-6
hpnW	AG-895-M21_17_23_12562_13707_R	AG-895-M21	17	23	12562	13707	R	TIGR03364	419.7	7.6e-128	419.5	8.6e-128
phnU2	AG-895-M21_17_25_14481_16220_R	AG-895-M21	17	25	14481	16220	R	TIGR03262	706.4	3e-214	706.2	3.6e-214
phnT2	AG-895-M21_17_26_16225_17331_R	AG-895-M21	17	26	16225	17331	R	TIGR03265	472.2	1.3e-143	472	1.5e-143
phnS2	AG-895-M21_17_27_17413_18465_R	AG-895-M21	17	27	17413	18465	R	TIGR03261	459.1	9.9e-140	458.8	1.2e-139
phnZ	AG-895-P19_3_24_12145_12732_F	AG-895-P19	3	24	12145	12732	F	PF01966.21	27.5	2.7e-6	27	3.9e-6
hpnW	AG-895-P19_3_25_12721_13866_R	AG-895-P19	3	25	12721	13866	R	TIGR03364	419.8	7.1e-128	419.6	8e-128
phnU2	AG-895-P19_3_27_14641_16380_R	AG-895-P19	3	27	14641	16380	R	TIGR03262	705.2	7.3e-214	704.9	8.6e-214
phnT2	AG-895-P19_3_28_16385_17491_R	AG-895-P19	3	28	16385	17491	R	TIGR03265	473.3	5.7e-144	473.1	6.5e-144
phnS2	AG-895-P19_3_29_17573_18625_R	AG-895-P19	3	29	17573	18625	R	TIGR03261	459.5	7.5e-140	459.2	9e-140
phnS2	AG-896-A03_6_57_37421_38473_F	AG-896-A03	6	57	37421	38473	F	TIGR03261	458.7	1.3e-139	458.4	1.6e-139
phnT2	AG-896-A03_6_58_38555_39661_F	AG-896-A03	6	58	38555	39661	F	TIGR03265	473.3	5.7e-144	473.1	6.5e-144
phnU2	AG-896-A03_6_59_39666_41405_F	AG-896-A03	6	59	39666	41405	F	TIGR03262	705.7	5.1e-214	705.5	6e-214
hpnW	AG-896-A03_6_61_42180_43325_F	AG-896-A03	6	61	42180	43325	F	TIGR03364	420.5	4.2e-128	420.4	4.8e-128
phnZ	AG-896-A03_6_62_43322_43900_R	AG-896-A03	6	62	43322	43900	R	PF01966.21	27.4	3e-6	27.1	3.8e-6
phnU2	AG-896-E23_26_1_3_1574_F	AG-896-E23	26	1	3	1574	F	TIGR03262	673.5	2.9e-204	673.3	3.2e-204
hpnW	AG-896-E23_26_3_2349_3494_F	AG-896-E23	26	3	2349	3494	F	TIGR03364	420.5	4.5e-128	420.3	5e-128
phnZ	AG-896-E23_26_4_3483_4070_R	AG-896-E23	26	4	3483	4070	R	PF01966.21	27.5	2.7e-6	27	4e-6
phnZ	AG-898-A19_13_23_13970_14548_F	AG-898-A19	13	23	13970	14548	F	PF01966.21	30.1	4.4e-7	29.6	6.3e-7
hpnW	AG-898-A19_13_24_14545_15690_R	AG-898-A19	13	24	14545	15690	R	TIGR03364	420.5	4.5e-128	420.3	5e-128
phnU2	AG-898-A19_13_26_16464_18203_R	AG-898-A19	13	26	16464	18203	R	TIGR03262	704.8	9.3e-214	704.6	1.1e-213
phnT2	AG-898-A19_13_27_18208_19314_R	AG-898-A19	13	27	18208	19314	R	TIGR03265	473.3	5.7e-144	473.1	6.5e-144
phnS2	AG-898-A19_13_28_19396_20448_R	AG-898-A19	13	28	19396	20448	R	TIGR03261	458.7	1.3e-139	458.4	1.6e-139
phnZ	AG-898-G03_7_24_11616_12194_F	AG-898-G03	7	24	11616	12194	F	PF01966.21	27.5	2.8e-6	26.9	4.3e-6
hpnW	AG-898-G03_7_25_12191_13336_R	AG-898-G03	7	25	12191	13336	R	TIGR03364	420.5	4.2e-128	420.4	4.8e-128
phnU2	AG-898-G03_7_27_14100_15839_R	AG-898-G03	7	27	14100	15839	R	TIGR03262	705.4	6.1e-214	705.2	7.1e-214
phnT2	AG-898-G03_7_28_15844_16950_R	AG-898-G03	7	28	15844	16950	R	TIGR03265	472.7	8.8e-144	472.5	1e-143
phnS2	AG-898-G03_7_29_17032_18084_R	AG-898-G03	7	29	17032	18084	R	TIGR03261	458.7	1.3e-139	458.4	1.6e-139
phnZ	AG-898-K08_9_19_10850_11437_F	AG-898-K08	9	19	10850	11437	F	PF01966.21	27.5	2.7e-6	27	4e-6
hpnW	AG-898-K08_9_20_11426_12571_R	AG-898-K08	9	20	11426	12571	R	TIGR03364	420.5	4.5e-128	420.3	5e-128
phnU2	AG-898-K08_9_22_13346_15085_R	AG-898-K08	9	22	13346	15085	R	TIGR03262	705.4	6.1e-214	705.2	7.1e-214
phnT2	AG-898-K08_9_23_15090_16196_R	AG-898-K08	9	23	15090	16196	R	TIGR03265	472.6	9.4e-144	472.4	1.1e-143
phnS2	AG-898-K08_9_24_16278_17330_R	AG-898-K08	9	24	16278	17330	R	TIGR03261	458.9	1.2e-139	458.6	1.4e-139
phnS2	AG-898-P23_19_5_1330_2412_F	AG-898-P23	19	5	1330	2412	F	TIGR03261	457.8	2.4e-139	457.6	2.9e-139
phnT2	AG-898-P23_19_6_2494_3600_F	AG-898-P23	19	6	2494	3600	F	TIGR03265	471.5	2.1e-143	471.3	2.4e-143
phnU2	AG-898-P23_19_7_3605_5344_F	AG-898-P23	19	7	3605	5344	F	TIGR03262	707.5	1.4e-214	707.3	1.6e-214
hpnW	AG-898-P23_19_9_6118_7263_F	AG-898-P23	19	9	6118	7263	F	TIGR03364	420.5	4.2e-128	420.4	4.8e-128
phnZ	AG-898-P23_19_10_7260_7838_R	AG-898-P23	19	10	7260	7838	R	PF01966.21	27.6	2.6e-6	27.1	3.8e-6
hpnW	AG-899-E18_25_3_1409_2554_F	AG-899-E18	25	3	1409	2554	F	TIGR03364	420.5	4.5e-128	420.3	5e-128
phnZ	AG-899-E18_25_4_2551_3129_R	AG-899-E18	25	4	2551	3129	R	PF01966.21	27.6	2.6e-6	27.1	3.8e-6
phnZ	AG-899-F18_16_36_20005_20583_F	AG-899-F18	16	36	20005	20583	F	PF01966.21	27.6	2.6e-6	27.1	3.8e-6
hpnW	AG-899-F18_16_37_20580_21725_R	AG-899-F18	16	37	20580	21725	R	TIGR03364	420.5	4.2e-128	420.4	4.8e-128
phnZ	AG-899-G16_28_3_1385_1753_F	AG-899-G16	28	3	1385	1753	F	PF01966.21	23.8	3.8e-5	23	6.7e-5
hpnW	AG-899-G16_28_5_1961_3106_R	AG-899-G16	28	5	1961	3106	R	TIGR03364	420.5	4.2e-128	420.4	4.8e-128
phnU2	AG-899-G16_28_7_3881_5620_R	AG-899-G16	28	7	3881	5620	R	TIGR03262	704.2	1.4e-213	703.9	1.7e-213
phnT2	AG-899-G16_28_8_5625_6731_R	AG-899-G16	28	8	5625	6731	R	TIGR03265	473.3	5.7e-144	473.1	6.5e-144
phnS2	AG-899-G16_28_9_6813_7841_R	AG-899-G16	28	9	6813	7841	R	TIGR03261	458.7	1.3e-139	458.5	1.5e-139
phnZ	AG-899-I02_3_46_22755_23333_F	AG-899-I02	3	46	22755	23333	F	PF01966.21	29.8	5.3e-7	29.2	8e-7
hpnW	AG-899-I02_3_47_23330_24475_R	AG-899-I02	3	47	23330	24475	R	TIGR03364	420.5	4.2e-128	420.4	4.8e-128
phnU2	AG-899-I02_3_49_25249_26988_R	AG-899-I02	3	49	25249	26988	R	TIGR03262	705.7	5.2e-214	705.4	6.1e-214
phnT2	AG-899-I02_3_50_26993_28099_R	AG-899-I02	3	50	26993	28099	R	TIGR03265	473.4	5.6e-144	473.2	6.4e-144
phnS2	AG-899-I02_3_51_28181_29209_R	AG-899-I02	3	51	28181	29209	R	TIGR03261	458.1	2e-139	457.9	2.3e-139
phnZ	AG-899-J07_50_2_388_966_F	AG-899-J07	50	2	388	966	F	PF01966.21	28	2e-6	27.4	2.9e-6
hpnW	AG-899-J07_50_3_963_2066_R	AG-899-J07	50	3	963	2066	R	TIGR03364	404.2	3.8e-123	404.1	4.3e-123
phnZ	AG-900-A03_23_11_5244_5822_F	AG-900-A03	23	11	5244	5822	F	PF01966.21	27.6	2.6e-6	27.1	3.8e-6
hpnW	AG-900-A03_23_12_5819_6964_R	AG-900-A03	23	12	5819	6964	R	TIGR03364	422.9	7.8e-129	422.8	8.9e-129
phnZ	AG-900-D17_4_3_1380_1958_F	AG-900-D17	4	3	1380	1958	F	PF01966.21	27.6	2.5e-6	27.1	3.7e-6
hpnW	AG-900-D17_4_4_1955_3100_R	AG-900-D17	4	4	1955	3100	R	TIGR03364	419.3	1e-127	419.1	1.1e-127
phnU2	AG-900-D17_4_6_3874_5613_R	AG-900-D17	4	6	3874	5613	R	TIGR03262	705.4	6.1e-214	705.2	7.1e-214
phnT2	AG-900-D17_4_7_5618_6724_R	AG-900-D17	4	7	5618	6724	R	TIGR03265	473.2	6.2e-144	473	7.1e-144
phnS2	AG-900-D17_4_8_6806_7858_R	AG-900-D17	4	8	6806	7858	R	TIGR03261	458.7	1.3e-139	458.4	1.6e-139
phnZ	AG-900-F22_4_23_11925_12503_F	AG-900-F22	4	23	11925	12503	F	PF01966.21	27.6	2.6e-6	27.1	3.8e-6
hpnW	AG-900-F22_4_24_12500_13645_R	AG-900-F22	4	24	12500	13645	R	TIGR03364	419.8	7.1e-128	419.6	8e-128
phnS2	AG-900-N03_1_72_60442_61524_F	AG-900-N03	1	72	60442	61524	F	TIGR03261	458.7	1.3e-139	458.4	1.6e-139
phnT2	AG-900-N03_1_73_61606_62712_F	AG-900-N03	1	73	61606	62712	F	TIGR03265	473.1	6.6e-144	472.9	7.6e-144
phnU2	AG-900-N03_1_74_62696_64456_F	AG-900-N03	1	74	62696	64456	F	TIGR03262	706	4.1e-214	705.8	4.8e-214
hpnW	AG-900-N03_1_76_65230_66375_F	AG-900-N03	1	76	65230	66375	F	TIGR03364	420.5	4.5e-128	420.3	5e-128
phnZ	AG-900-N03_1_77_66372_66950_R	AG-900-N03	1	77	66372	66950	R	PF01966.21	27.6	2.6e-6	27.1	3.8e-6
phnS2	AG-901-J02_19_12_4086_5138_F	AG-901-J02	19	12	4086	5138	F	TIGR03261	459.3	8.5e-140	459.1	1e-139
phnT2	AG-901-J02_19_13_5220_6326_F	AG-901-J02	19	13	5220	6326	F	TIGR03265	472.2	1.3e-143	472	1.5e-143
phnU2	AG-901-J02_19_14_6331_8070_F	AG-901-J02	19	14	6331	8070	F	TIGR03262	706.7	2.5e-214	706.5	2.9e-214
hpnW	AG-901-J02_19_16_8844_9989_F	AG-901-J02	19	16	8844	9989	F	TIGR03364	420.2	5.3e-128	420.1	6e-128
phnZ	AG-901-J02_19_17_9986_10564_R	AG-901-J02	19	17	9986	10564	R	PF01966.21	27.6	2.6e-6	27.1	3.8e-6
hpnW	AG-901-J04_48_1_1_1005_F	AG-901-J04	48	1	1	1005	F	TIGR03364	343.6	1e-104	343.4	1.1e-104
phnZ	AG-901-J04_48_2_1002_1580_R	AG-901-J04	48	2	1002	1580	R	PF01966.21	27.9	2.1e-6	27.4	3.1e-6
hpnW	AG-901-O15_33_3_1353_2498_F	AG-901-O15	33	3	1353	2498	F	TIGR03364	420.5	4.2e-128	420.4	4.8e-128
phnZ	AG-901-O15_33_4_2495_2899_R	AG-901-O15	33	4	2495	2899	R	PF01966.21	25	1.6e-5	24.8	1.9e-5
phnS2	AG-901-O19_1_8_3703_4755_F	AG-901-O19	1	8	3703	4755	F	TIGR03261	458.7	1.3e-139	458.4	1.6e-139
phnT2	AG-901-O19_1_9_4841_5947_F	AG-901-O19	1	9	4841	5947	F	TIGR03265	473.3	5.7e-144	473.1	6.5e-144
phnU2	AG-901-O19_1_10_5952_7691_F	AG-901-O19	1	10	5952	7691	F	TIGR03262	706	4e-214	705.8	4.7e-214
hpnW	AG-901-O19_1_12_8467_9612_F	AG-901-O19	1	12	8467	9612	F	TIGR03364	420.5	4.5e-128	420.3	5e-128
phnZ	AG-901-O19_1_13_9609_10187_R	AG-901-O19	1	13	9609	10187	R	PF01966.21	27.6	2.6e-6	27.1	3.8e-6
phnS2	AG-903-J11_1_28_14917_15969_F	AG-903-J11	1	28	14917	15969	F	TIGR03261	458.7	1.3e-139	458.4	1.6e-139
phnT2	AG-903-J11_1_29_16051_17157_F	AG-903-J11	1	29	16051	17157	F	TIGR03265	473.3	5.9e-144	473.1	6.7e-144
phnU2	AG-903-J11_1_30_17162_18901_F	AG-903-J11	1	30	17162	18901	F	TIGR03262	705.4	6.1e-214	705.2	7.1e-214
hpnW	AG-903-J11_1_32_19677_20822_F	AG-903-J11	1	32	19677	20822	F	TIGR03364	420.5	4.5e-128	420.3	5e-128
phnZ	AG-903-J11_1_33_20819_21397_R	AG-903-J11	1	33	20819	21397	R	PF01966.21	27.6	2.7e-6	27.1	3.8e-6
phnS2	AG-903-M06_6_46_23369_24355_F	AG-903-M06	6	46	23369	24355	F	TIGR03261	459.2	9.2e-140	458.9	1.1e-139
phnT2	AG-903-M06_6_47_24437_25543_F	AG-903-M06	6	47	24437	25543	F	TIGR03265	473.2	6.3e-144	473	7.2e-144
phnU2	AG-903-M06_6_48_25548_27287_F	AG-903-M06	6	48	25548	27287	F	TIGR03262	705.7	5.1e-214	705.5	5.9e-214
hpnW	AG-903-M06_6_50_28061_29206_F	AG-903-M06	6	50	28061	29206	F	TIGR03364	420	6.2e-128	419.8	7e-128
phnZ	AG-903-M06_6_51_29203_29781_R	AG-903-M06	6	51	29203	29781	R	PF01966.21	28.9	1e-6	28.3	1.6e-6
phnU2	AG-904-E04_18_1_2_1612_F	AG-904-E04	18	1	2	1612	F	TIGR03262	688.4	8.9e-209	688.2	9.9e-209
hpnW	AG-904-E04_18_3_2387_3532_F	AG-904-E04	18	3	2387	3532	F	TIGR03364	420.3	5e-128	420.1	5.6e-128
phnZ	AG-904-E04_18_4_3529_4062_R	AG-904-E04	18	4	3529	4062	R	PF01966.21	27.7	2.5e-6	27.4	3.1e-6
phnZ	AG-904-F03_9_21_10535_11113_F	AG-904-F03	9	21	10535	11113	F	PF01966.21	27.6	2.6e-6	27.1	3.8e-6
hpnW	AG-904-F03_9_22_11110_12255_R	AG-904-F03	9	22	11110	12255	R	TIGR03364	420.5	4.2e-128	420.4	4.8e-128
phnZ	AG-904-N04_15_5_2498_3076_F	AG-904-N04	15	5	2498	3076	F	PF01966.21	28.1	1.9e-6	27.6	2.6e-6
hpnW	AG-904-N04_15_6_3073_4218_R	AG-904-N04	15	6	3073	4218	R	TIGR03364	420.2	5.2e-128	420.1	5.9e-128
phnU2	AG-904-N04_15_8_4992_6731_R	AG-904-N04	15	8	4992	6731	R	TIGR03262	706.4	3e-214	706.2	3.6e-214
phnT2	AG-904-N04_15_9_6736_7842_R	AG-904-N04	15	9	6736	7842	R	TIGR03265	472.2	1.2e-143	472	1.4e-143
phnS2	AG-904-N04_15_10_7924_8976_R	AG-904-N04	15	10	7924	8976	R	TIGR03261	459.1	9.9e-140	458.8	1.2e-139
phnZ	AG-904-O22_2_116_107374_107952_F	AG-904-O22	2	116	107374	107952	F	PF01966.21	27.6	2.6e-6	27.1	3.8e-6
hpnW	AG-904-O22_2_117_107949_109094_R	AG-904-O22	2	117	107949	109094	R	TIGR03364	420.8	3.6e-128	420.6	4.1e-128
phnU2	AG-904-O22_2_119_109870_111609_R	AG-904-O22	2	119	109870	111609	R	TIGR03262	705.4	6.1e-214	705.2	7.1e-214
phnT2	AG-904-O22_2_120_111614_112720_R	AG-904-O22	2	120	111614	112720	R	TIGR03265	472.2	1.2e-143	472	1.4e-143
phnS2	AG-904-O22_2_121_112802_113854_R	AG-904-O22	2	121	112802	113854	R	TIGR03261	458.8	1.2e-139	458.6	1.5e-139
phnZ	AG-905-A02_6_2_493_1071_F	AG-905-A02	6	2	493	1071	F	PF01966.21	27.6	2.6e-6	27.1	3.8e-6
hpnW	AG-905-A02_6_3_1068_2213_R	AG-905-A02	6	3	1068	2213	R	TIGR03364	420.5	4.2e-128	420.4	4.8e-128
phnU2	AG-905-A02_6_5_2988_4520_R	AG-905-A02	6	5	2988	4520	R	TIGR03262	659.5	4.9e-200	659.4	5.5e-200
phnZ	AG-907-B11_10_27_14636_15214_F	AG-907-B11	10	27	14636	15214	F	PF01966.21	27.6	2.6e-6	27.1	3.8e-6
hpnW	AG-907-B11_10_28_15211_16356_R	AG-907-B11	10	28	15211	16356	R	TIGR03364	419.4	9.7e-128	419.2	1.1e-127
phnU2	AG-907-B11_10_30_17131_18870_R	AG-907-B11	10	30	17131	18870	R	TIGR03262	706.1	3.9e-214	705.8	4.6e-214
phnT2	AG-907-B11_10_31_18875_19981_R	AG-907-B11	10	31	18875	19981	R	TIGR03265	473.9	3.7e-144	473.7	4.3e-144
phnS2	AG-907-B11_10_32_20063_21115_R	AG-907-B11	10	32	20063	21115	R	TIGR03261	460.8	3e-140	460.6	3.6e-140
phnS2	AG-908-K07_8_5_2515_3567_F	AG-908-K07	8	5	2515	3567	F	TIGR03261	458.7	1.3e-139	458.4	1.6e-139
phnT2	AG-908-K07_8_6_3649_4755_F	AG-908-K07	8	6	3649	4755	F	TIGR03265	473.3	5.7e-144	473.1	6.5e-144
phnU2	AG-908-K07_8_7_4760_6499_F	AG-908-K07	8	7	4760	6499	F	TIGR03262	705.2	7e-214	705	8.1e-214
hpnW	AG-908-K07_8_9_7274_8419_F	AG-908-K07	8	9	7274	8419	F	TIGR03364	420.5	4.5e-128	420.3	5e-128
phnZ	AG-908-K07_8_10_8416_8994_R	AG-908-K07	8	10	8416	8994	R	PF01966.21	27.6	2.6e-6	27.1	3.8e-6
phnS2	AG-908-O02_12_14_6257_7309_F	AG-908-O02	12	14	6257	7309	F	TIGR03261	459.5	7.5e-140	459.2	9e-140
phnT2	AG-908-O02_12_15_7391_8497_F	AG-908-O02	12	15	7391	8497	F	TIGR03265	471.6	1.9e-143	471.4	2.2e-143
phnU2	AG-908-O02_12_16_8502_10241_F	AG-908-O02	12	16	8502	10241	F	TIGR03262	705.4	6.1e-214	705.2	7.1e-214
hpnW	AG-908-O02_12_18_11016_12161_F	AG-908-O02	12	18	11016	12161	F	TIGR03364	420.2	5.2e-128	420.1	5.9e-128
phnZ	AG-908-O02_12_19_12158_12736_R	AG-908-O02	12	19	12158	12736	R	PF01966.21	26.7	5e-6	26	7.8e-6
phnZ	AG-908-P06_26_1_2_499_F	AG-908-P06	26	1	2	499	F	PF01966.21	27.8	2.2e-6	27.6	2.6e-6
hpnW	AG-908-P06_26_2_496_1641_R	AG-908-P06	26	2	496	1641	R	TIGR03364	419.8	7.1e-128	419.6	8e-128
phnZ	AG-909-L06_39_1_1_426_F	AG-909-L06	39	1	1	426	F	PF01966.21	25.6	1.1e-5	25.2	1.4e-5
hpnW	AG-909-L06_39_2_423_1568_R	AG-909-L06	39	2	423	1568	R	TIGR03364	420.5	4.5e-128	420.3	5e-128
phnU2	AG-909-L06_39_4_2343_3791_R	AG-909-L06	39	4	2343	3791	R	TIGR03262	629.1	8.1e-191	628.9	9.1e-191
phnS2	AG-909-N03_1_67_55042_56094_F	AG-909-N03	1	67	55042	56094	F	TIGR03261	458.7	1.3e-139	458.4	1.6e-139
phnT2	AG-909-N03_1_68_56176_57282_F	AG-909-N03	1	68	56176	57282	F	TIGR03265	473.3	5.7e-144	473.1	6.5e-144
phnU2	AG-909-N03_1_69_57287_59026_F	AG-909-N03	1	69	57287	59026	F	TIGR03262	705.4	6.1e-214	705.2	7.1e-214
hpnW	AG-909-N03_1_71_59800_60945_F	AG-909-N03	1	71	59800	60945	F	TIGR03364	420.5	4.5e-128	420.3	5e-128
phnZ	AG-909-N03_1_72_60942_61520_R	AG-909-N03	1	72	60942	61520	R	PF01966.21	27.8	2.3e-6	27.3	3.3e-6
phnU2	AG-910-C07_39_1_1_1617_F	AG-910-C07	39	1	1	1617	F	TIGR03262	690.7	1.8e-209	690.5	2e-209
hpnW	AG-910-C07_39_3_2392_3537_F	AG-910-C07	39	3	2392	3537	F	TIGR03364	421.1	2.9e-128	420.9	3.3e-128
phnZ	AG-910-C07_39_4_3534_4112_R	AG-910-C07	39	4	3534	4112	R	PF01966.21	27.6	2.6e-6	27.1	3.8e-6
phnZ	AG-910-J04_6_3_1386_1973_F	AG-910-J04	6	3	1386	1973	F	PF01966.21	27.5	2.7e-6	27	4e-6
hpnW	AG-910-J04_6_4_1962_3107_R	AG-910-J04	6	4	1962	3107	R	TIGR03364	420.5	4.4e-128	420.3	5e-128
phnU2	AG-910-J04_6_6_3882_5621_R	AG-910-J04	6	6	3882	5621	R	TIGR03262	705.4	6.1e-214	705.2	7.1e-214
phnT2	AG-910-J04_6_7_5626_6732_R	AG-910-J04	6	7	5626	6732	R	TIGR03265	473.3	5.7e-144	473.1	6.5e-144
phnS2	AG-910-J04_6_8_6814_7866_R	AG-910-J04	6	8	6814	7866	R	TIGR03261	458.8	1.3e-139	458.5	1.5e-139
phnS2	AG-911-C05_20_23_9832_10884_F	AG-911-C05	20	23	9832	10884	F	TIGR03261	460	5.2e-140	459.8	6.2e-140
phnT2	AG-911-C05_20_24_10966_12072_F	AG-911-C05	20	24	10966	12072	F	TIGR03265	473.3	5.7e-144	473.1	6.5e-144
phnU2	AG-911-C05_20_25_12077_13816_F	AG-911-C05	20	25	12077	13816	F	TIGR03262	705.4	6.1e-214	705.2	7.1e-214
hpnW	AG-911-C05_20_27_14591_15736_F	AG-911-C05	20	27	14591	15736	F	TIGR03364	421.2	2.6e-128	421	3e-128
phnZ	AG-911-C05_20_28_15788_16312_R	AG-911-C05	20	28	15788	16312	R	PF01966.21	28.1	1.8e-6	27.6	2.6e-6
phnZ	AG-911-D04_22_3_1393_1971_F	AG-911-D04	22	3	1393	1971	F	PF01966.21	27.6	2.6e-6	27.1	3.8e-6
hpnW	AG-911-D04_22_4_1968_3113_R	AG-911-D04	22	4	1968	3113	R	TIGR03364	420.5	4.5e-128	420.3	5e-128
phnU2	AG-911-D04_22_6_3888_5456_R	AG-911-D04	22	6	3888	5456	R	TIGR03262	672	8.4e-204	671.8	9.4e-204
phnS2	AG-911-F21_23_7_3659_4711_F	AG-911-F21	23	7	3659	4711	F	TIGR03261	458.7	1.3e-139	458.4	1.6e-139
phnT2	AG-911-F21_23_8_4793_5899_F	AG-911-F21	23	8	4793	5899	F	TIGR03265	472.4	1.1e-143	472.2	1.2e-143
phnU2	AG-911-F21_23_9_5904_7643_F	AG-911-F21	23	9	5904	7643	F	TIGR03262	705.4	6.1e-214	705.2	7.1e-214
hpnW	AG-911-F21_23_11_8418_9563_F	AG-911-F21	23	11	8418	9563	F	TIGR03364	420.5	4.5e-128	420.3	5e-128
phnZ	AG-911-F21_23_12_9560_10138_R	AG-911-F21	23	12	9560	10138	R	PF01966.21	27.6	2.5e-6	27.1	3.6e-6
phnZ	AG-911-L06_17_3_1402_1980_F	AG-911-L06	17	3	1402	1980	F	PF01966.21	27.6	2.6e-6	27.1	3.8e-6
hpnW	AG-911-L06_17_4_1977_3122_R	AG-911-L06	17	4	1977	3122	R	TIGR03364	420.5	4.2e-128	420.4	4.8e-128
phnU2	AG-911-L06_17_6_3896_5635_R	AG-911-L06	17	6	3896	5635	R	TIGR03262	705.7	5e-214	705.5	5.9e-214
phnT2	AG-911-L06_17_7_5640_6746_R	AG-911-L06	17	7	5640	6746	R	TIGR03265	470	5.7e-143	469.9	6.5e-143
