genome	phnC	phnD	phnE	phnF	phnG	phnH	phnI	phnJ	phnK	phnL	phnM	phnN	phnO	phnP	phn01	phn02
specI-1510531	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-1517681	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1
specI-1522060	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-1524467	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-1526743	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-1528106	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-1532557	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-1532558	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1
specI-1535287	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1
specI-1541065	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0
specI-1547437	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	1
specI-155864	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
specI-1569209	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0
specI-1577887	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-158822	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0
specI-1708715	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	1
specI-172088	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-176299	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1
specI-1820025	1	0	1	1	1	1	1	1	1	1	0	1	0	0	0	1
specI-187410	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-189753	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-1905730	0	0	0	0	1	1	1	1	1	1	1	1	0	1	0	0
specI-196367	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-196490	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-198628	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-199310	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
specI-205918	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-207559	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0
specI-214092	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-216595	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-216596	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1
specI-218491	0	0	0	0	1	1	1	1	1	1	1	1	0	1	0	0
specI-223283	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-224911	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-243159	0	0	0	0	1	1	1	1	1	1	1	0	0	0	1	0
specI-243160	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	0
specI-243365	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0
specI-243924	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-244592	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0
specI-252305	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-264198	0	0	0	1	1	1	1	1	1	1	0	1	1	0	1	0
specI-264730	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-266264	0	0	1	1	1	1	1	1	1	1	0	1	1	0	1	0
specI-266265	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0
specI-266834	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	1
specI-266835	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1
specI-270374	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	0
specI-272123	1	1	1	0	1	1	1	1	1	1	0	0	1	0	0	0
specI-272560	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0
specI-272942	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1
specI-273526	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1
specI-28072	0	0	0	1	1	1	1	1	1	1	1	0	1	0	0	0
specI-28152	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-28447	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-288000	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-290338	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
specI-298654	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-298655	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-301	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-311402	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1
specI-311403	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1
specI-313612	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0
specI-314232	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-314262	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0
specI-314264	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1
specI-314265	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-314271	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1
specI-314292	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-316055	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-316056	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-316057	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-316058	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-316385	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0
specI-316407	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0
specI-317	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-318586	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0
specI-318996	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-319003	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-331869	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-335659	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-34007	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0
specI-342113	1	0	1	1	1	1	1	1	1	1	0	1	0	0	0	1
specI-347834	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1
specI-348824	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1
specI-349163	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-349965	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-349966	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-349967	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-349968	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-351016	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1
specI-35703	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
specI-358	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1
specI-358220	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
specI-359	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1
specI-360313	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-362663	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
specI-363754	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1
specI-365046	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0
specI-366394	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	1
specI-371042	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-376733	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1
specI-381666	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0
specI-384	1	0	0	1	1	1	1	1	1	1	0	0	0	0	0	1
specI-384765	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0
specI-388051	0	0	0	1	1	1	1	1	1	1	0	1	0	0	1	0
specI-388739	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0
specI-391038	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0
specI-391574	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1
specI-391589	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-391591	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1
specI-391613	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1
specI-391619	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-391624	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0
specI-391735	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0
specI-391937	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1
specI-393305	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-394	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	1
specI-395492	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1
specI-398525	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-398527	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-399739	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-399741	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1
specI-399742	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
specI-411464	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0
specI-411684	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1
specI-412597	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0
specI-41514	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0
specI-420324	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1
specI-424182	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1
specI-426117	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-426355	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
specI-438753	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0
specI-439375	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-439496	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0
specI-440512	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0
specI-443598	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-443906	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-450380	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0
specI-460265	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-463794	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-469008	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
specI-46914	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-469595	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
specI-469613	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
specI-472175	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	1
specI-477184	0	0	0	1	1	1	1	1	1	1	0	1	0	0	0	0
specI-477228	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-481805	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
specI-491916	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1
specI-492774	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1
specI-500639	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
specI-500640	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
specI-501479	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0
specI-511145	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0
specI-512030	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0
specI-517433	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-525897	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-52598	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-527002	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-533240	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0
specI-533247	0	0	0	1	1	1	1	1	1	1	0	0	1	0	0	0
specI-53367	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
specI-535289	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0
specI-536019	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1
specI-543728	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-549	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-550	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0
specI-553385	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-557598	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-561229	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-561230	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0
specI-561231	0	0	0	0	1	1	1	1	1	1	1	1	0	1	0	0
specI-563192	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0
specI-566551	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0
specI-568768	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	0
specI-570967	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0
specI-571	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-573	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-579405	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-582515	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0
specI-590409	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-592316	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-593105	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-60547	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-617140	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1
specI-633	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-634500	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-639283	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-640511	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-640513	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
specI-641118	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-643562	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-644076	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1
specI-644801	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-648757	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1
specI-652103	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-667129	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-667632	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-671990	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-675812	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-681847	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0
specI-68259	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-682633	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1
specI-690417	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-690585	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1
specI-690597	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-690598	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-693444	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
specI-693986	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-698761	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1
specI-701347	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0
specI-706191	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-707248	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-709797	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-712898	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-716541	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
specI-716928	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	1
specI-718254	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
specI-741091	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-742159	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-744980	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0
specI-745277	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-754035	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1
specI-754502	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-758793	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-762376	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-765698	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1
specI-766499	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	0
specI-78245	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-82977	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
specI-82995	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0
specI-82996	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1
specI-85698	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-858455	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0
specI-861208	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1
specI-864069	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-871203	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-883078	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-89187	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-891974	0	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-910964	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1
specI-911008	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0
specI-93220	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-932213	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-932677	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
specI-935543	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0
specI-935548	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0
specI-935557	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	1
specI-935565	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0
specI-935840	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	1
specI-935848	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0
specI-936136	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1
specI-936455	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
specI-941449	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1
specI-944435	1	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-945543	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
specI-948106	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
specI-977880	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0
specI-985054	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1
specI-990268	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	1
specI-990285	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1
specI-991905	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0
specI-99598	0	0	0	1	1	1	1	1	1	1	1	0	1	0	0	0
specI-999547	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0
specI-999549	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0
specI-999550	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0
specI-999611	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0
TMED150	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0
TMED183	0	0	0	0	1	1	1	1	1	1	0	1	0	0	0	1
TMED213	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1
TMED52	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
UBA1004	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1
UBA1131	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1
UBA1132	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
UBA1170	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
UBA1271	0	0	0	0	1	1	1	1	1	1	0	1	0	0	0	1
UBA1347	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0
UBA1636	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
UBA1893	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
UBA1898	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0
UBA2049	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
UBA2064	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
UBA2299	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0
UBA2313	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
UBA2473	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
UBA2501	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0
UBA2508	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1
UBA2526	0	0	1	1	1	1	1	1	1	1	0	1	1	0	1	0
UBA2529	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0
UBA3024	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
UBA3042	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
UBA3043	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0
UBA3234	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
UBA3235	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
UBA4040	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0
UBA4388	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1
UBA4389	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
UBA4550	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
UBA4618	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
UBA5037	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
UBA5082	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0
UBA5101	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0
UBA5103	0	0	0	0	0	0	0	1	1	1	0	1	1	0	1	0
UBA5110	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1
UBA5970	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0
UBA6298	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
UBA6501	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0
UBA6564	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
UBA6725	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1
UBA6728	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
UBA6743	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
UBA6744	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
UBA6747	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
UBA6749	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
UBA6763	1	0	0	1	1	1	1	1	1	0	1	1	0	0	0	1
UBA681	0	0	0	0	1	1	1	1	1	1	1	1	0	0	1	0
UBA683	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1
UBA687	1	0	1	1	1	0	1	1	1	1	0	0	1	0	0	0
UBA688	1	1	1	0	1	0	1	1	1	1	1	1	0	0	0	1
UBA6962	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0
UBA7371	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
UBA7499	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
UBA7808	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1
UBA862	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0
UBA868	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0
UBA989	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
