enzyme	seqid	genome	contig	gene_no	start	end	strand	pfam	dbit	devalue	fullbit	fullevalue
phnC	AG-905-F14_17_22_12740_13507_R	AG-905-F14	17	22	12740	13507	R	TIGR02315	332.8	1.7e-100	332.7	1.9e-100
phnD-like	AG-905-F14_17_23_13539_14555_R	AG-905-F14	17	23	13539	14555	R	TIGR01098	221.4	1.6e-66	221	2.1e-66
phnZ	AG-901-J04_19_14_6013_6618_R	AG-901-J04	19	14	6013	6618	R	PF01966.21	28.3	1.5e-6	27.9	2.1e-6
phnZ	AG-914-P03_19_14_6032_6637_R	AG-914-P03	19	14	6032	6637	R	PF01966.21	28.3	1.5e-6	27.9	2.1e-6
phyH	AG-901-J04_19_15_6615_7340_R	AG-901-J04	19	15	6615	7340	R	PF05721.12	76	3.5e-21	75.6	4.7e-21
phyH	AG-914-P03_19_15_6634_7359_R	AG-914-P03	19	15	6634	7359	R	PF05721.12	76.7	2.1e-21	76.4	2.7e-21
ptxD	AG-901-J04_19_17_7831_8787_R	AG-901-J04	19	17	7831	8787	R	PF02826.18	152.3	1.7e-44	151.6	2.8e-44
ptxD	AG-914-P03_19_17_7850_8806_R	AG-914-P03	19	17	7850	8806	R	PF02826.18	152.3	1.7e-44	151.6	2.8e-44
phnE	AG-901-J04_19_18_8798_9595_R	AG-901-J04	19	18	8798	9595	R	TIGR01097	277.4	1.4e-83	277.1	1.7e-83
phnE	AG-914-P03_19_18_8817_9614_R	AG-914-P03	19	18	8817	9614	R	TIGR01097	276.6	2.4e-83	276.4	2.9e-83
phnD-like	AG-901-J04_19_19_9632_10510_R	AG-901-J04	19	19	9632	10510	R	TIGR01098	227.3	2.5e-68	227.1	2.8e-68
phnD-like	AG-914-P03_19_19_9651_10529_R	AG-914-P03	19	19	9651	10529	R	TIGR01098	227.3	2.5e-68	227.1	2.8e-68
phnC	AG-901-J04_19_20_10543_11328_R	AG-901-J04	19	20	10543	11328	R	TIGR02315	302.5	3.1e-91	302.3	3.5e-91
phnC	AG-914-P03_19_20_10562_11347_R	AG-914-P03	19	20	10562	11347	R	TIGR02315	302.5	3.1e-91	302.3	3.5e-91
phnE	AG-901-J04_19_21_11554_12369_R	AG-901-J04	19	21	11554	12369	R	TIGR01097	280	2.3e-84	279.7	2.8e-84
phnE	AG-914-P03_19_21_11573_12388_R	AG-914-P03	19	21	11573	12388	R	TIGR01097	281.4	8.4e-85	281.2	9.9e-85
phnE	AG-901-J04_19_22_12369_13166_R	AG-901-J04	19	22	12369	13166	R	TIGR01097	266.6	2.8e-80	266.4	3.2e-80
phnE	AG-914-P03_19_22_12388_13185_R	AG-914-P03	19	22	12388	13185	R	TIGR01097	266.4	3.2e-80	266.2	3.6e-80
phnC	AG-901-J04_19_23_13178_13945_R	AG-901-J04	19	23	13178	13945	R	TIGR02315	330.5	8.4e-100	330.3	9.5e-100
phnC	AG-914-P03_19_23_13182_13964_R	AG-914-P03	19	23	13182	13964	R	TIGR02315	329.5	1.7e-99	329.4	1.9e-99
phnD-like	AG-901-J04_19_24_13977_14975_R	AG-901-J04	19	24	13977	14975	R	TIGR01098	219.9	4.5e-66	219.5	5.7e-66
phnD-like	AG-914-P03_19_24_13996_14994_R	AG-914-P03	19	24	13996	14994	R	TIGR01098	219.8	4.9e-66	219.4	6.4e-66
phnD-like	AG-917-B09_21_6_1921_2919_F	AG-917-B09	21	6	1921	2919	F	TIGR01098	220.9	2.3e-66	220.5	2.9e-66
phnC	AG-917-B09_21_7_2951_3718_F	AG-917-B09	21	7	2951	3718	F	TIGR02315	332.4	2.3e-100	332.2	2.6e-100
phnE	AG-917-B09_21_8_3730_4527_F	AG-917-B09	21	8	3730	4527	F	TIGR01097	267.6	1.4e-80	267.4	1.6e-80
phnE	AG-917-B09_21_9_4527_5342_F	AG-917-B09	21	9	4527	5342	F	TIGR01097	281.3	9e-85	281.1	1e-84
phnC	AG-917-B09_21_10_5566_6351_F	AG-917-B09	21	10	5566	6351	F	TIGR02315	302.5	3.1e-91	302.3	3.5e-91
phnD-like	AG-917-B09_21_11_6384_7262_F	AG-917-B09	21	11	6384	7262	F	TIGR01098	230.1	3.4e-69	229.8	4.2e-69
phnE	AG-917-B09_21_12_7300_8097_F	AG-917-B09	21	12	7300	8097	F	TIGR01097	276.6	2.4e-83	276.4	2.9e-83
ptxD	AG-917-B09_21_13_8108_9064_F	AG-917-B09	21	13	8108	9064	F	PF02826.18	152.3	1.7e-44	151.6	2.8e-44
phyH	AG-917-B09_21_15_9543_10280_F	AG-917-B09	21	15	9543	10280	F	PF05721.12	78.2	7.4e-22	77.8	9.5e-22
phnZ	AG-917-B09_21_16_10277_10882_F	AG-917-B09	21	16	10277	10882	F	PF01966.21	29.4	7.2e-7	28.9	9.9e-7
phnD-like	AG-911-C05_23_2_392_1390_F	AG-911-C05	23	2	392	1390	F	TIGR01098	219.9	4.4e-66	219.5	5.7e-66
phnC	AG-911-C05_23_3_1422_2189_F	AG-911-C05	23	3	1422	2189	F	TIGR02315	333	1.5e-100	332.8	1.7e-100
phnE	AG-911-C05_23_4_2201_2998_F	AG-911-C05	23	4	2201	2998	F	TIGR01097	266.3	3.5e-80	266.1	4e-80
phnE	AG-911-C05_23_5_2998_3813_F	AG-911-C05	23	5	2998	3813	F	TIGR01097	281.3	9e-85	281.1	1e-84
phnC	AG-911-C05_23_6_4038_4823_F	AG-911-C05	23	6	4038	4823	F	TIGR02315	302.5	3.1e-91	302.3	3.5e-91
phnD-like	AG-911-C05_23_7_4856_5734_F	AG-911-C05	23	7	4856	5734	F	TIGR01098	227.3	2.5e-68	227.1	2.8e-68
phnE	AG-911-C05_23_8_5771_6568_F	AG-911-C05	23	8	5771	6568	F	TIGR01097	276.6	2.4e-83	276.4	2.9e-83
ptxD	AG-911-C05_23_9_6579_7535_F	AG-911-C05	23	9	6579	7535	F	PF02826.18	152.3	1.7e-44	151.6	2.8e-44
phyH	AG-911-C05_23_11_8026_8751_F	AG-911-C05	23	11	8026	8751	F	PF05721.12	76.7	2.1e-21	76.4	2.7e-21
phnZ	AG-911-C05_23_12_8748_9353_F	AG-911-C05	23	12	8748	9353	F	PF01966.21	28.3	1.5e-6	27.9	2.1e-6
phnZ	AG-920-M14_26_3_924_1529_R	AG-920-M14	26	3	924	1529	R	PF01966.21	28.3	1.5e-6	27.9	2.1e-6
phyH	AG-920-M14_26_4_1526_2251_R	AG-920-M14	26	4	1526	2251	R	PF05721.12	76.7	2.1e-21	76.4	2.7e-21
ptxD	AG-920-M14_26_6_2742_3698_R	AG-920-M14	26	6	2742	3698	R	PF02826.18	152.3	1.7e-44	151.6	2.8e-44
phnE	AG-920-M14_26_7_3709_4506_R	AG-920-M14	26	7	3709	4506	R	TIGR01097	276.6	2.4e-83	276.4	2.9e-83
phnD-like	AG-920-M14_26_8_4543_5421_R	AG-920-M14	26	8	4543	5421	R	TIGR01098	228.2	1.3e-68	227.9	1.6e-68
phnC	AG-920-M14_26_9_5454_6239_R	AG-920-M14	26	9	5454	6239	R	TIGR02315	304	1e-91	303.8	1.2e-91
phnE	AG-920-M14_26_10_6466_7281_R	AG-920-M14	26	10	6466	7281	R	TIGR01097	281.4	8.4e-85	281.2	9.9e-85
phnE	AG-920-M14_26_11_7281_8078_R	AG-920-M14	26	11	7281	8078	R	TIGR01097	266.3	3.5e-80	266.1	4e-80
phnC	AG-920-M14_26_12_8090_8857_R	AG-920-M14	26	12	8090	8857	R	TIGR02315	329.6	1.6e-99	329.5	1.7e-99
phnD-like	AG-920-M14_26_13_8889_9788_R	AG-920-M14	26	13	8889	9788	R	TIGR01098	220	4.3e-66	219.6	5.4e-66
phnZ	AG-426-D16_29_2_331_936_R	AG-426-D16	29	2	331	936	R	PF01966.21	29.4	7.2e-7	28.9	9.9e-7
phyH	AG-426-D16_29_3_933_1670_R	AG-426-D16	29	3	933	1670	R	PF05721.12	77.2	1.5e-21	76.9	1.9e-21
ptxD	AG-426-D16_29_5_2149_3105_R	AG-426-D16	29	5	2149	3105	R	PF02826.18	154.5	3.6e-45	153.7	6.1e-45
phnE	AG-426-D16_29_6_3116_3913_R	AG-426-D16	29	6	3116	3913	R	TIGR01097	276.2	3.3e-83	275.9	4e-83
phnD-like	AG-426-D16_29_7_3951_4829_R	AG-426-D16	29	7	3951	4829	R	TIGR01098	227.9	1.6e-68	227.6	2e-68
phnC	AG-426-D16_29_8_4862_5647_R	AG-426-D16	29	8	4862	5647	R	TIGR02315	302.5	3e-91	302.3	3.4e-91
